es	ca	tecnic	data	domini
administración oral	administració oral	extracció automàtica	2026-03-30	Farmàcia
aglomerado	aglomerat	extracció automàtica	2026-03-30	Farmàcia
aglutinante	aglutinant	extracció automàtica	2026-03-30	Farmàcia
aglutinante fusible	aglutinant fusible	extracció automàtica	2026-03-30	Farmàcia
alginato sódico	alginat sòdic	extracció automàtica	2026-03-30	Farmàcia
almidón pregelatinizado	midó pregelatinitzat	extracció automàtica	2026-03-30	Farmàcia
ángulo de reposo	angle de repòs	extracció automàtica	2026-03-30	Farmàcia
aparatos de secado	aparells d'assecat	extracció automàtica	2026-03-30	Farmàcia
briqueta	briqueta	extracció automàtica	2026-03-30	Farmàcia
briqueteado	briquetatge	extracció automàtica	2026-03-30	Farmàcia
capacidad de compresión	capacitat de compressió	extracció automàtica	2026-03-30	Farmàcia
cápsula de gelatina dura	càpsula de gelatina dura	extracció automàtica	2026-03-30	Farmàcia
cizalla	cisalla	extracció automàtica	2026-03-30	Farmàcia
compactación en rodillo	compactació en corró	extracció automàtica	2026-03-30	Farmàcia
compresibilidad	compressibilitat	extracció automàtica	2026-03-30	Farmàcia
compresión	compressió	extracció automàtica	2026-03-30	Farmàcia
comprimido	comprimit	extracció automàtica	2026-03-30	Farmàcia
comprimido recubierto	comprimit recobert	extracció automàtica	2026-03-30	Farmàcia
contenido en humedad	contingut en humitat	extracció automàtica	2026-03-30	Farmàcia
controles sobre producto acabado	controls sobre producte acabat	extracció automàtica	2026-03-30	Farmàcia
cuchillas laterales	fulles laterals	extracció automàtica	2026-03-30	Farmàcia
densidad aparente	densitat aparent	extracció automàtica	2026-03-30	Farmàcia
deformación de partículas	deformació de partícules	extracció automàtica	2026-03-30	Farmàcia
degradación de componentes	degradació de components	extracció automàtica	2026-03-30	Farmàcia
densidad granulado aireado	densitat granulat airejat	extracció automàtica	2026-03-30	Farmàcia
densidad granulado vibrado	densitat granulat vibrat	extracció automàtica	2026-03-30	Farmàcia
desmezclado	desmesclat	extracció automàtica	2026-03-30	Farmàcia
diluyente	diluent	extracció automàtica	2026-03-30	Farmàcia
disgregante	disgregant	extracció automàtica	2026-03-30	Farmàcia
disolvente orgánico	dissolvent orgànic	extracció automàtica	2026-03-30	Farmàcia
distribución de tamaño de partícula	distribució de grandària de partícula	extracció automàtica	2026-03-30	Farmàcia
dosificación unitaria	dosificació unitària	extracció automàtica	2026-03-30	Farmàcia
embalaje multidosis	envasos multidosi	extracció automàtica	2026-03-30	Farmàcia
empaquetamiento	empaquetament	extracció automàtica	2026-03-30	Farmàcia
engrudo de almidón	engrut de midó	extracció automàtica	2026-03-30	Farmàcia
entrecruzamiento mecánico	entrecreuament mecànic	extracció automàtica	2026-03-30	Farmàcia
envase multidosis	envàs multidosi	extracció automàtica	2026-03-30	Farmàcia
esferonización	esferonització	extracció automàtica	2026-03-30	Farmàcia
esferonizador	esferonitzador	extracció automàtica	2026-03-30	Farmàcia
estado capilar	estat capil·lar	extracció automàtica	2026-03-30	Farmàcia
estado funicular	estat funicular	extracció automàtica	2026-03-30	Farmàcia
estado pendular	estat pendular	extracció automàtica	2026-03-30	Farmàcia
excipiente	excipient	extracció automàtica	2026-03-30	Farmàcia
extrusión	extrusió	extracció automàtica	2026-03-30	Farmàcia
extrusión por fusión	extrusió per fusió	extracció automàtica	2026-03-30	Farmàcia
extrusión-esferonización	extrusió-esferonització	extracció automàtica	2026-03-30	Farmàcia
extrusor radial	extrusor radial	extracció automàtica	2026-03-30	Farmàcia
fármaco termolábil	fàrmac termolàbil	extracció automàtica	2026-03-30	Farmàcia
fases de Newitt	fases de Newitt	extracció automàtica	2026-03-30	Farmàcia
flujo	flux	extracció automàtica	2026-03-30	Farmàcia
fluidez	fluïdesa	extracció automàtica	2026-03-30	Farmàcia
forma farmacéutica sólida	forma farmacèutica sòlida	extracció automàtica	2026-03-30	Farmàcia
friabilidad	friabilitat	extracció automàtica	2026-03-30	Farmàcia
fuerzas de atracción entre partículas sólidas	forces d'atracció entre partícules sòlides	extracció automàtica	2026-03-30	Farmàcia
fuerzas de cohesión	forces de cohesió	extracció automàtica	2026-03-30	Farmàcia
fuerzas de Van der Waals	forces de Van der Waals	extracció automàtica	2026-03-30	Farmàcia
fuerzas electrostáticas	forces electrostàtiques	extracció automàtica	2026-03-30	Farmàcia
gelatina	gelatina	extracció automàtica	2026-03-30	Farmàcia
glucosa	glucosa	extracció automàtica	2026-03-30	Farmàcia
grado de humedad	grau d'humitat	extracció automàtica	2026-03-30	Farmàcia
granulación	granulació	extracció automàtica	2026-03-30	Farmàcia
granulación en lecho fluido	granulació en llit fluid	extracció automàtica	2026-03-30	Farmàcia
granulación en un único paso	granulació en un únic pas	extracció automàtica	2026-03-30	Farmàcia
granulación por fusión	granulació per fusió	extracció automàtica	2026-03-30	Farmàcia
granulación por vía húmeda	granulació per via humida	extracció automàtica	2026-03-30	Farmàcia
granulación por vía seca	granulació per via seca	extracció automàtica	2026-03-30	Farmàcia
granulación sin líquidos	granulació sense líquids	extracció automàtica	2026-03-30	Farmàcia
granulado	granulat	extracció automàtica	2026-03-30	Farmàcia
granulado efervescente	granulat efervescent	extracció automàtica	2026-03-30	Farmàcia
granulado gastro-resistente	granulat gastroresistent	extracció automàtica	2026-03-30	Farmàcia
granulado de liberación modificada	granulat d'alliberament modificat	extracció automàtica	2026-03-30	Farmàcia
granulado recubierto	granulat recobert	extracció automàtica	2026-03-30	Farmàcia
granulador de alta cizalla	granulador d'alta cisalla	extracció automàtica	2026-03-30	Farmàcia
granulador de alta velocidad	granulador d'alta velocitat	extracció automàtica	2026-03-30	Farmàcia
granulador de lecho fluido	granulador de llit fluid	extracció automàtica	2026-03-30	Farmàcia
granulador oscilante	granulador oscil·lant	extracció automàtica	2026-03-30	Farmàcia
granulador-esferonizador	granulador-esferonitzador	extracció automàtica	2026-03-30	Farmàcia
granulometría	granulometria	extracció automàtica	2026-03-30	Farmàcia
gránulo	grànul	extracció automàtica	2026-03-30	Farmàcia
higroscopicidad	higroscopicitat	extracció automàtica	2026-03-30	Farmàcia
homogeneización de tamaño	homogeneïtzació de grandària	extracció automàtica	2026-03-30	Farmàcia
humectación	humidificació	extracció automàtica	2026-03-30	Farmàcia
incompatibilidad de tipo tecnológico	incompatibilitat de tipus tecnològic	extracció automàtica	2026-03-30	Farmàcia
índice de Carr	índex de Carr	extracció automàtica	2026-03-30	Farmàcia
índice de Hausner	índex de Hausner	extracció automàtica	2026-03-30	Farmàcia
jugos gástricos	sucs gàstrics	extracció automàtica	2026-03-30	Farmàcia
lecho fluido	llit fluid	extracció automàtica	2026-03-30	Farmàcia
liberación controlada	alliberament controlat	extracció automàtica	2026-03-30	Farmàcia
liberación del principio activo	alliberament del principi actiu	extracció automàtica	2026-03-30	Farmàcia
liberación inmediata	alliberament immediat	extracció automàtica	2026-03-30	Farmàcia
liberación modificada	alliberament modificat	extracció automàtica	2026-03-30	Farmàcia
líquido aglutinante	líquid aglutinant	extracció automàtica	2026-03-30	Farmàcia
líquido de granulación	líquid de granulació	extracció automàtica	2026-03-30	Farmàcia
lubrificante	lubrificant	extracció automàtica	2026-03-30	Farmàcia
masa húmeda	massa humida	extracció automàtica	2026-03-30	Farmàcia
masa humectada	massa humidificada	extracció automàtica	2026-03-30	Farmàcia
mecanismo de acción de los aglutinantes	mecanisme d'acció dels aglutinants	extracció automàtica	2026-03-30	Farmàcia
mecanismos de unión entre partículas	mecanismes d'unió entre partícules	extracció automàtica	2026-03-30	Farmàcia
mezcla de polvos	mescla de pólvores	extracció automàtica	2026-03-30	Farmàcia
mezclador planetario	mesclador planetari	extracció automàtica	2026-03-30	Farmàcia
microesfera	microesfera	extracció automàtica	2026-03-30	Farmàcia
micropartícula	micropartícula	extracció automàtica	2026-03-30	Farmàcia
molino de fragmentación	molí de fragmentació	extracció automàtica	2026-03-30	Farmàcia
película líquida móvil	pel·lícula líquida mòbil	extracció automàtica	2026-03-30	Farmàcia
película de líquido inmóvil	pel·lícula de líquid immòbil	extracció automàtica	2026-03-30	Farmàcia
pellet	pèl·let	extracció automàtica	2026-03-30	Farmàcia
pelletización	pel·letització	extracció automàtica	2026-03-30	Farmàcia
polivinilpirrolidona	polivinilpirrolidona	extracció automàtica	2026-03-30	Farmàcia
polvo fino	pols fina	extracció automàtica	2026-03-30	Farmàcia
porosidad	porositat	extracció automàtica	2026-03-30	Farmàcia
principio activo	principi actiu	extracció automàtica	2026-03-30	Farmàcia
proceso de extrusión	procés d'extrusió	extracció automàtica	2026-03-30	Farmàcia
producto acabado	producte acabat	extracció automàtica	2026-03-30	Farmàcia
producto intermedio	producte intermedi	extracció automàtica	2026-03-30	Farmàcia
propiedades cohesivas	propietats cohesives	extracció automàtica	2026-03-30	Farmàcia
propiedades de compresión	característiques de compressió	extracció automàtica	2026-03-30	Farmàcia
propiedades de deformación	propietats de deformació	extracció automàtica	2026-03-30	Farmàcia
propiedades de deslizamiento	propietats de lliscament	extracció automàtica	2026-03-30	Farmàcia
propiedades de flujo	propietats de flux	extracció automàtica	2026-03-30	Farmàcia
puentes de agua	ponts d'aigua	extracció automàtica	2026-03-30	Farmàcia
puentes sólidos	ponts sòlids	extracció automàtica	2026-03-30	Farmàcia
pulverización	polvorització	extracció automàtica	2026-03-30	Farmàcia
Real Farmacopea Española	Real Farmacopea Española	extracció automàtica	2026-03-30	Farmàcia
recubrimiento	recobriment	extracció automàtica	2026-03-30	Farmàcia
sacarosa	sacarosa	extracció automàtica	2026-03-30	Farmàcia
secado	assecat	extracció automàtica	2026-03-30	Farmàcia
secado en lecho fluido	assecat en llit fluid	extracció automàtica	2026-03-30	Farmàcia
secador de microondas	assecador de microones	extracció automàtica	2026-03-30	Farmàcia
segregación	segregació	extracció automàtica	2026-03-30	Farmàcia
sólido pulverulento	sòlid pulverulent	extracció automàtica	2026-03-30	Farmàcia
solución de granulación	solució de granulació	extracció automàtica	2026-03-30	Farmàcia
sorbitol	sorbitol	extracció automàtica	2026-03-30	Farmàcia
Spray Dryer	Spray Dryer	extracció automàtica	2026-03-30	Farmàcia
superfície específica	superfície específica	extracció automàtica	2026-03-30	Farmàcia
tamizado	tamisatge	extracció automàtica	2026-03-30	Farmàcia
tamiz	tamís	extracció automàtica	2026-03-30	Farmàcia
tecnología farmacéutica	tecnologia farmacèutica	extracció automàtica	2026-03-30	Farmàcia
tensión superficial	tensió superficial	extracció automàtica	2026-03-30	Farmàcia
termolábil	termolàbil	extracció automàtica	2026-03-30	Farmàcia
tobera	tovera	extracció automàtica	2026-03-30	Farmàcia
tolva	tremuja	extracció automàtica	2026-03-30	Farmàcia
tornillo sin fin	caragol sense fi	extracció automàtica	2026-03-30	Farmàcia
tránsito intestinal	trànsit intestinal	extracció automàtica	2026-03-30	Farmàcia
uniformidad de contenido	uniformitat de contingut	extracció automàtica	2026-03-30	Farmàcia
uniformidad de masa	uniformitat de massa	extracció automàtica	2026-03-30	Farmàcia
